cases_0_submitter_id	cases_0_case_id	cases_0_samples_0_sample_type	data_type	cases_0_samples_0_tissue_type	file_name	cases_0_samples_0_submitter_id	cases_0_samples_0_portions_0_analytes_0_aliquots_0_aliquot_id	cases_0_samples_0_sample_id	file_id	data_category	cases_0_samples_0_tumor_descriptor	cases_0_samples_0_portions_0_analytes_0_aliquots_0_submitter_id
TCGA-E9-A1RC	5cdae21d-eee5-478f-932a-0f51fcf5f031	Solid Tissue Normal	Gene Expression Quantification		b07b373c-29e1-4e88-a3a9-783568cc12eb.FPKM.txt.gz	TCGA-E9-A1RC-11A	81769714-1765-4b76-8a3a-18f79e314852	5174c897-271a-4306-b0b6-48715cffc278	610d35a6-4a56-4832-8866-16cc6a363c1d	Transcriptome Profiling		TCGA-E9-A1RC-11A-33R-A157-07
TCGA-AO-A03R	2e82e576-3095-4aee-9853-65f676647c34	Primary Tumor	Gene Expression Quantification		3ec6fe34-7876-4369-aa8c-c0fd901c8aa2.FPKM.txt.gz	TCGA-AO-A03R-01A	6722de75-5d6d-4b1d-a961-856ec5bd12f1	1be0c409-dd2c-4d82-80c4-2a71ec4d17d4	141ca0a2-3b26-4f36-af1d-82b11f157ee1	Transcriptome Profiling		TCGA-AO-A03R-01A-21R-A034-07
TCGA-A7-A0DC	cb9f5e50-f49d-4899-8895-9367afcc1015	Primary Tumor	Gene Expression Quantification		7bcc02ad-a4c7-44e1-8654-10c4598f936d.FPKM.txt.gz	TCGA-A7-A0DC-01B	22fe5cac-0623-4d0a-a158-f15fb5477d8f	00b54c99-c26d-423a-9871-2552c1603a9c	fe16c6ef-a6c1-44bb-984c-b6c249712707	Transcriptome Profiling		TCGA-A7-A0DC-01B-04R-A22O-07
TCGA-AR-A5QN	077506ea-8f11-405d-bb8e-3c9924fe54d0	Primary Tumor	Gene Expression Quantification		6cef5fb7-2c60-4ece-87e8-4acff9374fb2.FPKM.txt.gz	TCGA-AR-A5QN-01A	76353751-a05c-432e-a35b-12f2bf62a494	3e936c86-fbb5-415d-a657-f96fe5565e34	792affc3-2220-42c7-aa6f-bbfb707581aa	Transcriptome Profiling		TCGA-AR-A5QN-01A-12R-A28M-07
TCGA-B6-A409	5362cbc4-cd28-4afd-a8ac-1a4c2c33cad2	Primary Tumor	Gene Expression Quantification		4ce949d4-55e1-4e4b-a6d3-d2910ae3b448.FPKM.txt.gz	TCGA-B6-A409-01A	4d9bb08c-d954-4e14-aff2-3bec55cdf1c1	9e1c48c2-ce8e-4256-8cb2-31b12c523c66	e53d5465-f26e-4599-9469-3ff054457701	Transcriptome Profiling		TCGA-B6-A409-01A-11R-A24H-07
TCGA-B6-A0RN	2199b7a1-bd47-4bb5-b36a-a3e291e3e259	Primary Tumor	Gene Expression Quantification		fb13b1f7-2b62-4cd9-8e01-875acc860016.FPKM.txt.gz	TCGA-B6-A0RN-01A	c417152a-d278-4aeb-951e-a7b6ae5654c1	3652a456-36ee-4746-b25d-a6303984b77f	51e03cc2-0c81-487e-b63e-7088ddf3c150	Transcriptome Profiling		TCGA-B6-A0RN-01A-12R-A084-07
TCGA-BH-A18V	6b960b58-28e1-41c6-bd6e-7e669c6aa4ef	Solid Tissue Normal	Gene Expression Quantification		20b241da-8e69-4eb0-a7f2-4eb24cf76059.FPKM.txt.gz	TCGA-BH-A18V-11A	288c81eb-4c43-406b-a5e5-fee452a95afb	e85b2b0f-993f-4c37-8ed5-53d384ac18e1	d7377937-4909-4010-8a53-20ebc598f7a2	Transcriptome Profiling		TCGA-BH-A18V-11A-52R-A12D-07
TCGA-E2-A1IU	001cef41-ff86-4d3f-a140-a647ac4b10a1	Primary Tumor	Gene Expression Quantification		2edcaaa7-63b4-40b4-abbe-5d7a84012e60.FPKM.txt.gz	TCGA-E2-A1IU-01A	53c8bbbd-16cd-4790-a99b-f45b0f958157	92058c44-a484-4e08-b1fe-dfe2f03a0aa1	cf5b6af9-ec8b-48ef-b799-14fe78be4fdc	Transcriptome Profiling		TCGA-E2-A1IU-01A-11R-A14D-07
TCGA-GM-A2DL	a76774fe-7298-4d68-a2b2-c1bad93f0c31	Primary Tumor	Gene Expression Quantification		1953cac0-8088-44ea-b371-e8b98097d871.FPKM.txt.gz	TCGA-GM-A2DL-01A	8955404a-c756-4116-9613-dea06077a056	d6e981ee-1afc-4f84-a3be-e87e0d1460cd	bada56d4-d7b5-4b57-8b1d-abe8cb7d44fc	Transcriptome Profiling		TCGA-GM-A2DL-01A-11R-A18M-07
TCGA-AR-A24O	125b0a9a-6cbe-4207-9178-e7ff03487e87	Primary Tumor	Gene Expression Quantification		e17180f8-d562-485f-ae60-8ae37e898099.FPKM.txt.gz	TCGA-AR-A24O-01A	2cd8167d-d35f-43e8-927f-cd7decebd9cf	146bd11a-e66a-4d8d-990a-9f1199cdf255	dc866797-f089-418b-900c-950178e6dff8	Transcriptome Profiling		TCGA-AR-A24O-01A-11R-A169-07
TCGA-BH-A0BR	3ecb0147-276d-486c-9af0-ce437c24ba83	Primary Tumor	Gene Expression Quantification		b2544700-678b-4daa-841c-bf401896da1b.FPKM.txt.gz	TCGA-BH-A0BR-01A	0ef20000-2c8e-47bb-86e5-ffa2814099a7	581cc2a6-e95c-46e1-8530-598a616e86be	b018ae70-dddc-4f7b-882f-6b45feceac32	Transcriptome Profiling		TCGA-BH-A0BR-01A-21R-A115-07
TCGA-A7-A0CH	9de678e5-67ed-4453-a98b-7ac351d5d0f1	Solid Tissue Normal	Gene Expression Quantification		d46b61b0-6f34-48ca-8c7d-23ae4d0b1a7c.FPKM.txt.gz	TCGA-A7-A0CH-11A	a4b19504-8f04-48db-b88b-d76b8b3c3881	60ee931b-d315-4c37-b913-fa46a5f206b4	109b0f0f-8998-4bf6-b858-9d88f90ca264	Transcriptome Profiling		TCGA-A7-A0CH-11A-32R-A089-07
